iter	Passed	Remaining
903	393908	41830
904	394319	41392
905	394746	40956
906	395184	40520
907	395603	40083
908	396023	39645
909	396459	39210
910	396835	38768
911	397254	38331
912	397735	37900
913	398097	37457
914	398567	37025
915	398956	36585
916	399344	36145
917	399746	35707
918	400153	35269
919	400563	34831
920	400932	34390
921	401302	33949
922	401671	33508
923	402088	33072
924	402505	32635
925	402876	32195
926	403349	31763
927	403761	31326
928	404160	30888
929	404495	30445
930	404893	30008
931	405285	29570
932	405635	29129
933	405993	28689
934	406403	28252
935	406736	27811
936	407122	27373
937	407519	26936
938	407917	26499
939	408339	26064
940	408687	25624
941	409141	25191
942	409574	24756
943	409948	24318
944	410411	23886
945	410787	23448
946	411205	23013
947	411611	22577
948	412010	22141
949	412397	21705
950	412767	21267
951	413181	20832
952	413546	20395
953	413961	19960
954	414359	19524
955	414797	19091
956	415171	18654
957	415500	18216
958	415905	17781
959	416265	17344
960	416654	16908
961	417013	16472
962	417391	16036
963	417790	15602
964	418244	15169
965	418634	14734
966	419010	14299
967	419381	13863
968	419782	13429
969	420231	12996
970	420626	12562
971	421064	12129
972	421501	11696
973	421939	11263
974	422458	10832
975	422789	10396
976	423221	9963
977	423675	9530
978	424147	9098
979	424526	8663
980	424907	8229
981	425220	7794
982	425669	7361
983	426106	6928
984	426500	6494
985	426878	6061
986	427226	5627
987	427589	5193
988	428039	4760
989	428394	4327
990	428823	3894
991	429190	3461
992	429580	3028
993	429928	2595
994	430323	2162
995	430709	1729
996	431152	1297
997	431492	864
998	431893	432
999	432304	0
